SR #,DESCRIPTION,DRAWING LOCATION,OUR PICTURE,QUANTITY,WASTAGE,QUANTITY WITH WASTAGE,UNIT,FACTORY PHOTO,DETAILS,UNIT COST,TOTAL COST,CBM,WEIGHT,FOB PORT,PRODUCTION LEAD TIME, WARRANTY INFO,HS CODE PER PRODUCT
1,Range: Electric, Standard Model: GRF400SVSS Manufacturer: GE,113,0%,113,EA,
2,Range: Electric, Accessible Model: JB480SYSS Manufacturer: GE,7,0%,7,EA,
3,Overhead Exhaust Hood Model: 41000 Series Manufacturer: Broan Overhead Exhaust Hood (Alternate) Model: FHWC3025M Manufacturer: Frigidaire,120,0%,120,EA,
4,MICROWAVE (OVER-THE-RANGE) Model: FFMV1645T Manufacturer: Frigidaire,113,0%,113,EA,
5,MICROWAVE (Countertop) Model: FFMO1611L Manufacturer: Frigidaire,8,0%,8,EA,
6,Kitchen Range Backsplash Model: SP3004 Manufacturer: Broan,120,0%,120,EA,
7,Refrigerator/Freezer (Accessible) Model: RS22T5201SR Manufacturer: Samsung,50,0%,50,EA,
8,Refrigerator/Freezer (Standard) Blomberg; BRFB1512SS Haier; HRQ16N3BGS Summit; FFBF286SS,71,0%,71,EA,
9,Dishwasher (Standard) Model: FFCD2413U Manufacturer: Frigidaire,113,0%,113,EA,
10,Dishwasher (Accessible) Model: FFBD2420U Manufacturer: Frigidaire,7,0%,7,EA,
11,Washer Model: WFW5620HW Manufacturer: Whirlpool,132,0%,132,EA,
12,Dryer Model: WED5620HW Manufacturer: Whirlpool,132,0%,132,EA,
Sub Total,,,,,,,,986,986